node1,node2,free_bw,used_bw,pkloss,delay
1,7,99999.758592,241.408215,0.0,0.929117
2,5,179999.711651,288.348701,0.0,0.818491
2,6,24999.718345,281.654722,0.0,1.71721
2,11,189999.758582,241.418333,0.0,0.807762
2,18,219999.758592,241.408215,0.0,1.221061
2,21,99999.758582,241.418333,0.0,0.84126
2,23,24999.718357,281.642917,0.0,0.773907
3,21,24999.758582,241.418333,0.0,0.977278
4,5,24999.758592,241.408215,0.0,0.97549
4,14,99999.758592,241.408215,0.0,1.421809
5,8,99999.758592,241.408215,0.0,0.938535
5,11,199999.758582,241.418333,0.0,0.56994
5,20,24999.758592,241.408215,0.0,0.958443
6,13,99999.718345,281.654722,0.0,0.703573
6,18,99999.718345,281.654722,0.0,0.799537
6,19,99999.758572,241.428452,0.0,0.807047
7,11,99999.758582,241.418333,0.0,0.835419
8,9,99999.758592,241.408215,0.0,1.089334
10,16,99999.718357,281.642917,0.0,0.840187
11,18,259999.758582,241.418333,0.0,0.72372
12,22,99999.758582,241.418333,0.0,0.833273
15,20,24999.718357,281.642917,0.0,0.839949
16,18,24999.758592,241.408215,0.0,2.718925
17,23,24999.718357,281.642917,0.0,0.686765
18,22,99999.758582,241.418333,0.0,2.570391
